Nodo	Centralità	Distanza Media
8	0.021660	46.167359
18	0.021345	46.850265
10	0.021190	47.192106
4490	0.021183	47.207023
5	0.021161	47.256300
16	0.021085	47.427181
7	0.021081	47.435932
13	0.021072	47.455386
5783	0.021054	47.497476
7837	0.020990	47.642194
22	0.020987	47.647715
17914	0.020963	47.702104
30	0.020950	47.731987
446	0.020937	47.762360
7993	0.020836	47.993384
2245	0.020836	47.993859
1936	0.020819	48.033461
20665	0.020810	48.053905
186	0.020795	48.087920
312	0.020793	48.091974
19126	0.020755	48.182120
7752	0.020724	48.252767
2703	0.020707	48.292815
18010	0.020681	48.352424
1112	0.020671	48.376914
13126	0.020663	48.395927
15283	0.020658	48.408126
3360	0.020651	48.422865
6645	0.020651	48.422925
17395	0.020645	48.438299
8117	0.020635	48.461384
42	0.020612	48.515517
17	0.020598	48.547989
54	0.020594	48.558033
586	0.020586	48.576360
6063	0.020578	48.594417
21506	0.020562	48.633239
1	0.020547	48.669940
24442	0.020539	48.688925
8252	0.020508	48.762127
22043	0.020507	48.764204
688	0.020500	48.780985
21503	0.020494	48.795037
8598	0.020494	48.795907
15549	0.020444	48.914838
6	0.020430	48.947076
14530	0.020394	49.034162
2627	0.020392	49.037649
18965	0.020362	49.112270
1442	0.020337	49.172251
16652	0.020331	49.186765
3484	0.020310	49.236536
0	0.020299	49.262789
527	0.020292	49.280297
1647	0.020279	49.311104
11349	0.020259	49.360275
18911	0.020253	49.375535
1033	0.020252	49.377920
15935	0.020241	49.403593
3590	0.020236	49.415944
23343	0.020235	49.418287
21	0.020231	49.428964
479	0.020208	49.485899
10178	0.020205	49.492614
245	0.020198	49.509939
11198	0.020190	49.529263
831	0.020187	49.536805
1359	0.020187	49.537736
1195	0.020182	49.548583
827	0.020176	49.564255
7325	0.020169	49.581828
249	0.020152	49.622950
10631	0.020126	49.686081
3291	0.020118	49.707778
7986	0.020098	49.755524
1506	0.020090	49.777137
13509	0.020063	49.843540
8854	0.020057	49.857390
1199	0.020056	49.860206
3120	0.020054	49.864153
6734	0.020050	49.874509
1279	0.020046	49.885688
9213	0.020041	49.896663
12837	0.020020	49.950043
412	0.020013	49.966516
10793	0.020013	49.968015
3875	0.020011	49.973763
611	0.019987	50.032654
6264	0.019972	50.071018
1957	0.019965	50.087332
1229	0.019959	50.101921
55	0.019959	50.102477
3689	0.019956	50.110716
205	0.019955	50.112921
23217	0.019950	50.125502
452	0.019946	50.135392
1768	0.019940	50.151327
201	0.019936	50.159638
2452	0.019919	50.204247
3142	0.019916	50.212138
992	0.019914	50.215833
2781	0.019908	50.232188
150	0.019907	50.234169
78	0.019890	50.276439
236	0.019876	50.312137
3967	0.019871	50.325781
11730	0.019855	50.364841
455	0.019852	50.372328
14776	0.019845	50.390241
18997	0.019833	50.420173
19	0.019831	50.425258
24	0.019822	50.448004
3474	0.019816	50.464465
11596	0.019809	50.480917
10731	0.019806	50.488590
20768	0.019793	50.522018
22747	0.019789	50.534303
1563	0.019784	50.544754
2316	0.019781	50.554487
4723	0.019780	50.555683
504	0.019776	50.566536
450	0.019773	50.572854
6607	0.019758	50.611176
1115	0.019754	50.621753
16083	0.019748	50.637324
5062	0.019739	50.660666
14506	0.019734	50.675209
13855	0.019732	50.678644
24290	0.019732	50.679867
3059	0.019719	50.713669
5620	0.019708	50.740262
38	0.019706	50.746349
8101	0.019696	50.772397
44	0.019693	50.778832
13285	0.019682	50.807260
18447	0.019676	50.823484
4673	0.019671	50.836624
2238	0.019662	50.858656
1189	0.019661	50.862109
7230	0.019661	50.863244
836	0.019660	50.864841
23796	0.019659	50.866675
1331	0.019658	50.870951
4700	0.019651	50.886883
17546	0.019647	50.897959
14528	0.019642	50.912201
12877	0.019635	50.929742
25	0.019629	50.944433
18828	0.019628	50.947755
6388	0.019622	50.964408
12113	0.019620	50.968357
11605	0.019614	50.983948
120	0.019611	50.990901
6443	0.019606	51.003838
8781	0.019596	51.031792
9656	0.019590	51.046976
3029	0.019587	51.053032
28	0.019587	51.053970
164	0.019584	51.061804
6438	0.019581	51.071104
22540	0.019568	51.104316
22924	0.019561	51.121652
21960	0.019560	51.125896
12436	0.019558	51.129601
84	0.019551	51.148424
4146	0.019548	51.157002
11	0.019540	51.177265
1438	0.019533	51.195992
6686	0.019532	51.197748
12	0.019517	51.238179
10769	0.019514	51.246485
5118	0.019513	51.247740
2575	0.019504	51.272364
933	0.019494	51.296835
24751	0.019483	51.325798
59	0.019463	51.378522
6640	0.019461	51.384143
3550	0.019457	51.396338
8151	0.019454	51.404195
5462	0.019441	51.437890
6039	0.019436	51.452169
22183	0.019431	51.463883
2137	0.019430	51.466013
17065	0.019429	51.468406
2947	0.019419	51.495852
16220	0.019415	51.506238
17448	0.019408	51.526205
21141	0.019407	51.527522
11780	0.019386	51.583526
4624	0.019382	51.594803
1515	0.019371	51.623500
104	0.019357	51.661562
13124	0.019357	51.661924
3182	0.019351	51.677840
3898	0.019351	51.677865
24863	0.019348	51.683844
1984	0.019336	51.717245
8169	0.019336	51.717943
2959	0.019330	51.733889
12614	0.019318	51.766147
12068	0.019309	51.789269
12689	0.019309	51.789356
141	0.019288	51.845216
1673	0.019287	51.847266
13376	0.019285	51.854142
16248	0.019279	51.871222
774	0.019270	51.893376
13125	0.019264	51.909965
4882	0.019262	51.915061
6105	0.019262	51.916897
10425	0.019252	51.942270
15696	0.019250	51.947467
17962	0.019246	51.959273
4747	0.019240	51.974001
10964	0.019228	52.007634
2149	0.019227	52.009612
75	0.019226	52.013117
3248	0.019226	52.013393
1311	0.019225	52.015134
15248	0.019225	52.016385
19099	0.019222	52.022485
16710	0.019219	52.030987
88	0.019215	52.043960
217	0.019214	52.045201
17555	0.019209	52.057829
11878	0.019209	52.058273
109	0.019206	52.066979
4	0.019198	52.087481
