Nodo	Centralità	Distanza Media
3129	0.044398	22.523599
902	0.044107	22.672151
9315	0.043987	22.734017
3098	0.043965	22.745581
3505	0.043951	22.752727
3504	0.043856	22.801711
732	0.043834	22.813370
4727	0.043618	22.926194
10469	0.043552	22.961076
6934	0.043525	22.975273
6472	0.043500	22.988530
8255	0.043413	23.034411
8151	0.043408	23.037044
8234	0.043346	23.069951
7602	0.043336	23.075592
9286	0.043288	23.101260
6387	0.043222	23.136612
8152	0.043189	23.153817
7533	0.043148	23.175912
4783	0.043146	23.177134
374	0.043132	23.184844
1030	0.043123	23.189357
1637	0.043115	23.193776
959	0.043080	23.212580
3511	0.043072	23.217093
8878	0.043068	23.218879
5825	0.043019	23.245581
10470	0.042965	23.275009
2546	0.042939	23.288642
1546	0.042935	23.290899
3405	0.042930	23.294002
4269	0.042874	23.324088
6388	0.042864	23.329823
1177	0.042798	23.365457
7047	0.042794	23.367807
4894	0.042778	23.376269
2927	0.042774	23.378808
2485	0.042766	23.382945
8254	0.042762	23.385013
1638	0.042715	23.411151
380	0.042690	23.424690
961	0.042686	23.427040
5999	0.042674	23.433246
6865	0.042665	23.438229
8153	0.042652	23.445656
3618	0.042645	23.449323
9287	0.042631	23.457033
733	0.042625	23.460417
9023	0.042619	23.463802
8463	0.042609	23.469067
6475	0.042607	23.470478
5196	0.042596	23.476589
3510	0.042576	23.487589
4529	0.042551	23.500940
4485	0.042540	23.507240
4782	0.042538	23.508180
5240	0.042537	23.508744
1284	0.042522	23.517300
304	0.042517	23.519838
7617	0.042502	23.528112
967	0.042481	23.539865
7793	0.042480	23.540335
9655	0.042459	23.552087
6474	0.042440	23.562900
2425	0.042432	23.567036
8235	0.042432	23.567131
5195	0.042431	23.567507
3097	0.042423	23.571926
4191	0.042417	23.575404
3619	0.042403	23.583114
4709	0.042403	23.583490
5241	0.042397	23.586687
1285	0.042394	23.588097
514	0.042390	23.590259
9656	0.042389	23.590824
7976	0.042388	23.591670
9231	0.042377	23.597875
5237	0.042377	23.597969
7859	0.042369	23.601918
1775	0.042367	23.603046
7631	0.042362	23.606055
2423	0.042299	23.641313
117	0.042296	23.642817
5359	0.042291	23.645825
3506	0.042271	23.656826
3231	0.042257	23.664630
4972	0.042255	23.665664
8233	0.042252	23.667450
9919	0.042252	23.667732
5358	0.042244	23.672151
1323	0.042241	23.673844
4542	0.042240	23.674126
9705	0.042236	23.676570
2661	0.042234	23.677510
10003	0.042231	23.679015
4528	0.042212	23.689733
2543	0.042212	23.689921
3096	0.042199	23.697067
7476	0.042196	23.699135
4233	0.042191	23.701862
9275	0.042190	23.702332
1869	0.042190	23.702426
2357	0.042181	23.707221
1973	0.042172	23.712298
4728	0.042170	23.713614
271	0.042169	23.714272
8304	0.042152	23.723862
545	0.042150	23.724709
379	0.042124	23.739470
5387	0.042118	23.742948
3406	0.042115	23.744735
7674	0.042110	23.747273
5268	0.042106	23.749342
7901	0.042100	23.752821
3355	0.042092	23.757334
4784	0.042087	23.760530
2928	0.042086	23.760812
1031	0.042080	23.764479
3384	0.042079	23.765043
5946	0.042077	23.765983
8945	0.042073	23.768428
5796	0.042072	23.768616
5630	0.042061	23.774727
373	0.042058	23.776420
7601	0.042048	23.782155
2506	0.042042	23.785540
9761	0.042040	23.786762
1277	0.042017	23.799925
4775	0.042016	23.800489
1156	0.042002	23.808387
6473	0.042001	23.809045
1317	0.041995	23.812147
10337	0.041989	23.816002
5799	0.041967	23.828225
4464	0.041957	23.834054
4234	0.041952	23.836499
996	0.041951	23.837533
6215	0.041943	23.841764
8638	0.041925	23.851918
8393	0.041913	23.858876
1545	0.041911	23.859816
4031	0.041904	23.863953
9005	0.041901	23.865739
3976	0.041878	23.878620
1415	0.041870	23.883603
8765	0.041868	23.884449
10060	0.041861	23.888868
854	0.041860	23.889432
1016	0.041859	23.889714
8766	0.041855	23.892159
4834	0.041853	23.893381
1643	0.041852	23.893945
2662	0.041847	23.896484
578	0.041847	23.896860
8944	0.041842	23.899680
2777	0.041833	23.904475
701	0.041828	23.907296
6795	0.041818	23.913313
3975	0.041795	23.926288
1870	0.041784	23.932681
10525	0.041761	23.946032
5998	0.041759	23.946879
6794	0.041757	23.948195
5760	0.041752	23.951015
8544	0.041748	23.953084
3185	0.041746	23.954400
968	0.041741	23.957315
7534	0.041740	23.958067
10281	0.041734	23.961452
2619	0.041730	23.963614
2309	0.041728	23.964460
5009	0.041727	23.965024
7635	0.041726	23.965871
1615	0.041720	23.969349
1616	0.041719	23.969725
4850	0.041708	23.976307
6531	0.041706	23.977435
7048	0.041704	23.978751
2424	0.041703	23.978939
3898	0.041685	23.989470
1104	0.041685	23.989658
9232	0.041675	23.995111
8256	0.041664	24.001598
3617	0.041661	24.003479
6935	0.041643	24.013445
4183	0.041643	24.013633
10402	0.041639	24.015983
3977	0.041630	24.021249
4555	0.041629	24.021719
4646	0.041618	24.028206
674	0.041616	24.029052
8305	0.041614	24.030275
2689	0.041605	24.035634
5629	0.041603	24.036762
3138	0.041603	24.036856
10514	0.041597	24.039959
2192	0.041593	24.042591
6608	0.041585	24.047104
855	0.041574	24.053780
4356	0.041567	24.057258
1481	0.041567	24.057822
5436	0.041566	24.058105
6486	0.041563	24.059609
4541	0.041561	24.061301
5581	0.041554	24.065250
5484	0.041548	24.068729
9022	0.041540	24.073148
2	0.041539	24.073712
1236	0.041533	24.077473
3427	0.041530	24.079165
2647	0.041522	24.083490
9779	0.041512	24.089695
1565	0.041507	24.092328
10596	0.041507	24.092610
7618	0.041503	24.094866
4719	0.041502	24.094961
