Nodo	Centralità	Distanza Media
5698	0.050085	19.966242
5699	0.049838	20.065027
4741	0.049790	20.084545
4875	0.049349	20.263792
3937	0.049326	20.273352
2005	0.049166	20.339275
6914	0.049046	20.389066
7894	0.048986	20.413862
6506	0.048934	20.435869
1285	0.048925	20.439255
1742	0.048833	20.477793
4779	0.048782	20.499403
5700	0.048750	20.512846
1376	0.048676	20.543916
3464	0.048636	20.561044
2006	0.048607	20.572993
678	0.048599	20.576678
2046	0.048549	20.597690
8733	0.048514	20.612627
8732	0.048511	20.614021
4268	0.048449	20.640311
2870	0.048411	20.656343
5701	0.048401	20.660924
9625	0.048183	20.754332
3033	0.048160	20.764190
3150	0.048077	20.800040
837	0.048046	20.813384
2011	0.048033	20.818861
2889	0.047954	20.853316
7312	0.047928	20.864768
676	0.047914	20.870942
7589	0.047869	20.890560
8998	0.047858	20.895240
679	0.047823	20.910576
3591	0.047797	20.921828
4314	0.047792	20.924218
9414	0.047756	20.939753
9057	0.047751	20.942043
4742	0.047677	20.974607
2869	0.047642	20.989942
6124	0.047635	20.992930
4766	0.047603	21.007269
836	0.047601	21.008166
5259	0.047589	21.013244
9535	0.047546	21.032264
4780	0.047532	21.038239
2045	0.047528	21.040131
953	0.047528	21.040430
2053	0.047485	21.059351
7476	0.047460	21.070504
3336	0.047443	21.077873
8232	0.047393	21.100080
6789	0.047379	21.106353
4023	0.047378	21.106752
5041	0.047341	21.123282
536	0.047300	21.141804
4778	0.047296	21.143497
4874	0.047280	21.150568
1981	0.047278	21.151364
8797	0.047269	21.155547
3878	0.047267	21.156543
1037	0.047256	21.161123
474	0.047244	21.166799
3149	0.047219	21.177753
7475	0.047199	21.186716
4026	0.047187	21.192492
6888	0.047161	21.203844
1954	0.047159	21.204840
3106	0.047115	21.224756
1286	0.047112	21.226150
7552	0.047105	21.229138
2796	0.047100	21.231328
3093	0.047080	21.240390
1434	0.047069	21.245369
7889	0.047049	21.254531
2590	0.047045	21.256323
5125	0.047013	21.270862
630	0.047009	21.272555
5260	0.047008	21.272754
9638	0.046999	21.276937
6100	0.046988	21.282215
6434	0.046986	21.282812
7766	0.046979	21.286198
2047	0.046964	21.292770
6606	0.046946	21.301235
6090	0.046915	21.315276
5847	0.046908	21.318164
7373	0.046889	21.326827
7468	0.046874	21.333997
3736	0.046858	21.340868
4129	0.046854	21.342960
1375	0.046838	21.350030
9327	0.046829	21.354113
8707	0.046824	21.356503
5982	0.046805	21.365067
8731	0.046788	21.373033
2320	0.046760	21.385780
2007	0.046736	21.396933
9788	0.046728	21.400219
1232	0.046717	21.405298
595	0.046702	21.412567
1953	0.046677	21.423920
4833	0.046663	21.430293
7765	0.046657	21.433081
2003	0.046652	21.435272
6535	0.046639	21.441346
5594	0.046559	21.478092
6025	0.046555	21.480183
228	0.046553	21.480980
5084	0.046551	21.481777
6309	0.046545	21.484664
3705	0.046535	21.489146
8350	0.046531	21.491137
4752	0.046524	21.494224
9985	0.046517	21.497510
3992	0.046512	21.500000
7474	0.046497	21.506572
8902	0.046475	21.516929
680	0.046456	21.525593
6091	0.046446	21.530572
72	0.046421	21.542024
3745	0.046419	21.542920
8324	0.046417	21.543716
5435	0.046416	21.544214
1015	0.046409	21.547401
594	0.046403	21.550488
7311	0.046397	21.553276
9986	0.046384	21.559251
7995	0.046378	21.561840
4713	0.046376	21.562836
8025	0.046362	21.569309
4765	0.046362	21.569508
5042	0.046361	21.569906
8266	0.046349	21.575383
8230	0.046337	21.580860
8739	0.046288	21.604063
2273	0.046283	21.606353
567	0.046275	21.609938
2123	0.046258	21.618104
4366	0.046245	21.624079
7467	0.046238	21.627465
5984	0.046233	21.629456
1036	0.046212	21.639315
9496	0.046188	21.650866
9242	0.046180	21.654451
4041	0.046169	21.659430
9755	0.046167	21.660426
1671	0.046164	21.662020
3970	0.046159	21.664310
4505	0.046159	21.664409
7466	0.046143	21.671978
7788	0.046138	21.674168
4109	0.046134	21.675762
916	0.046133	21.676359
244	0.046123	21.680940
3945	0.046122	21.681836
6488	0.046108	21.688010
2274	0.046095	21.694483
6358	0.046086	21.698765
848	0.046081	21.700956
7490	0.046075	21.703943
8425	0.046071	21.705437
9002	0.046040	21.720474
8427	0.046033	21.723760
6612	0.046032	21.723860
1955	0.046019	21.730133
7422	0.046016	21.731528
3807	0.046011	21.734117
1680	0.045996	21.740988
9275	0.045989	21.744374
5320	0.045970	21.753535
2188	0.045969	21.753635
7560	0.045946	21.764489
5606	0.045944	21.765684
2403	0.045941	21.766979
8329	0.045940	21.767377
6461	0.045939	21.768174
8726	0.045929	21.772655
9097	0.045928	21.773352
3046	0.045919	21.777335
7477	0.045894	21.789285
4604	0.045892	21.790181
1681	0.045886	21.792970
9624	0.045884	21.794264
3971	0.045882	21.795160
7764	0.045882	21.795160
3668	0.045879	21.796554
7338	0.045861	21.805019
669	0.045834	21.817765
6717	0.045831	21.819458
7874	0.045830	21.819857
4504	0.045826	21.821549
2871	0.045819	21.825035
6125	0.045812	21.828321
8049	0.045812	21.828520
7085	0.045808	21.830213
3035	0.045801	21.833798
6962	0.045796	21.835989
5981	0.045794	21.837084
8420	0.045789	21.839175
2004	0.045787	21.840370
9415	0.045783	21.842362
4527	0.045778	21.844453
3539	0.045768	21.849134
774	0.045760	21.853117
9983	0.045757	21.854810
8157	0.045749	21.858295
2927	0.045745	21.860187
813	0.045744	21.860685
6758	0.045724	21.870444
5983	0.045724	21.870544
6546	0.045717	21.873631
2048	0.045708	21.878112
2915	0.045705	21.879606
10042	0.045697	21.883390
4743	0.045692	21.885481
14	0.045692	21.885581
7880	0.045683	21.889763
5188	0.045683	21.889962
5283	0.045665	21.898825
9056	0.045664	21.899223
1354	0.045661	21.900717
4065	0.045657	21.902310
5321	0.045641	21.910078
8156	0.045641	21.910177
3047	0.045632	21.914658
9639	0.045615	21.922525
3855	0.045606	21.926708
568	0.045603	21.928202
522	0.045599	21.930492
682	0.045597	21.931289
7543	0.045596	21.931786
5124	0.045593	21.933181
1980	0.045590	21.934874
9326	0.045586	21.936566
299	0.045577	21.940848
5914	0.045577	21.941048
8818	0.045572	21.943338
5537	0.045552	21.952699
4164	0.045551	21.953495
