Nodo	Centralità	Distanza Media
8146	0.050169	19.932552
10329	0.050084	19.966487
8847	0.050013	19.994986
5864	0.049818	20.073148
13600	0.049750	20.100486
1260	0.049652	20.140120
4272	0.049532	20.188885
4163	0.049516	20.195641
3777	0.049448	20.223243
18459	0.049443	20.225195
12701	0.049433	20.229576
7245	0.049417	20.236067
18940	0.049392	20.246042
1067	0.049353	20.262191
12800	0.049292	20.287207
5863	0.049286	20.289635
3778	0.049279	20.292696
5518	0.049269	20.296707
3014	0.049267	20.297657
10445	0.049221	20.316603
10935	0.049149	20.346475
8279	0.049123	20.357083
8904	0.049113	20.361041
13900	0.049112	20.361780
3299	0.049085	20.372757
13180	0.049081	20.374551
12114	0.049077	20.376346
4336	0.049050	20.387429
5346	0.048935	20.435244
4829	0.048935	20.435455
12077	0.048892	20.453452
6333	0.048864	20.464904
1898	0.048864	20.464957
3981	0.048845	20.472926
6599	0.048802	20.490923
10002	0.048800	20.491820
8848	0.048800	20.491925
254	0.048753	20.511558
11589	0.048732	20.520213
17459	0.048730	20.521110
12801	0.048730	20.521269
7055	0.048724	20.523855
1070	0.048692	20.537154
6779	0.048673	20.545176
17361	0.048652	20.554307
13062	0.048641	20.558740
12702	0.048633	20.562170
18619	0.048632	20.562381
18606	0.048627	20.564703
3776	0.048610	20.571775
4345	0.048604	20.574414
16528	0.048591	20.579850
10418	0.048557	20.594469
5250	0.048535	20.603547
16671	0.048535	20.603810
8412	0.048532	20.604972
2658	0.048520	20.610196
15611	0.048517	20.611146
5519	0.048504	20.616688
2469	0.048485	20.625132
14014	0.048482	20.626135
15458	0.048471	20.630990
8371	0.048470	20.631307
8280	0.048464	20.633840
13158	0.048449	20.640068
3030	0.048443	20.642812
9421	0.048433	20.646876
3279	0.048432	20.647667
540	0.048426	20.649884
12566	0.048426	20.649989
4692	0.048426	20.650042
13855	0.048409	20.657378
9420	0.048393	20.664186
7370	0.048392	20.664556
3332	0.048391	20.665031
12695	0.048383	20.668355
3643	0.048380	20.669886
8278	0.048377	20.671047
4162	0.048374	20.672314
1466	0.048368	20.674794
11914	0.048365	20.676219
18066	0.048352	20.681602
6796	0.048340	20.686669
5517	0.048338	20.687724
13825	0.048307	20.700760
8131	0.048293	20.706776
17203	0.048281	20.712212
5946	0.048273	20.715696
8802	0.048259	20.721343
14344	0.048256	20.722979
10333	0.048245	20.727623
11684	0.048213	20.741081
2037	0.048204	20.745039
16027	0.048183	20.754064
1008	0.048170	20.759816
4335	0.048168	20.760872
3300	0.048165	20.761769
657	0.048164	20.762561
2453	0.048160	20.764144
12859	0.048151	20.768049
13930	0.048145	20.770741
11933	0.048123	20.780188
3521	0.048122	20.780716
7708	0.048107	20.787102
10330	0.048102	20.789001
18044	0.048080	20.798659
568	0.048075	20.800718
7244	0.048071	20.802618
16886	0.048071	20.802723
16701	0.048069	20.803568
3982	0.048062	20.806312
17537	0.048057	20.808740
4000	0.048049	20.812170
13627	0.048037	20.817342
1750	0.048036	20.817817
1066	0.048033	20.818978
7040	0.048025	20.822303
17275	0.048018	20.825734
9074	0.048016	20.826578
6162	0.048010	20.828900
1027	0.047998	20.834178
2657	0.047986	20.839561
4334	0.047980	20.841936
10334	0.047959	20.851066
14009	0.047957	20.851858
10937	0.047956	20.852438
404	0.047956	20.852544
8069	0.047950	20.854919
13933	0.047948	20.856133
184	0.047935	20.861463
11979	0.047931	20.863310
10299	0.047928	20.864735
13899	0.047926	20.865527
5043	0.047923	20.867004
12700	0.047916	20.869854
4261	0.047913	20.871015
11929	0.047913	20.871332
9419	0.047907	20.873865
2670	0.047894	20.879565
12490	0.047889	20.881412
239	0.047889	20.881518
15684	0.047879	20.886109
11930	0.047878	20.886637
14459	0.047842	20.901942
12761	0.047832	20.906692
13030	0.047824	20.909911
9899	0.047819	20.912286
742	0.047812	20.915083
18540	0.047811	20.915717
15050	0.047803	20.919147
1479	0.047799	20.920942
10421	0.047792	20.924003
10290	0.047792	20.924161
17315	0.047787	20.926325
3520	0.047785	20.926958
10129	0.047774	20.931708
18789	0.047769	20.933924
17283	0.047767	20.934874
6334	0.047766	20.935508
9510	0.047744	20.944955
4663	0.047737	20.948227
1118	0.047733	20.949757
3666	0.047726	20.952871
10241	0.047724	20.953663
5813	0.047724	20.953927
396	0.047715	20.957885
10504	0.047711	20.959468
13552	0.047707	20.961210
4376	0.047698	20.965379
8589	0.047694	20.966804
11931	0.047684	20.971343
5539	0.047683	20.971923
17383	0.047677	20.974298
960	0.047676	20.974826
7118	0.047674	20.975723
755	0.047673	20.976356
16881	0.047666	20.979417
16527	0.047662	20.981053
10052	0.047662	20.981106
4980	0.047661	20.981476
9845	0.047660	20.982003
8202	0.047659	20.982320
11932	0.047656	20.983851
7054	0.047651	20.986067
1583	0.047649	20.986753
15685	0.047647	20.987756
163	0.047645	20.988442
7839	0.047642	20.989761
2386	0.047639	20.991081
16069	0.047633	20.993984
18266	0.047610	21.003800
5944	0.047603	21.007230
3331	0.047602	21.007705
14697	0.047600	21.008391
13751	0.047599	21.008919
8022	0.047578	21.018155
14346	0.047563	21.024858
4271	0.047554	21.028921
9059	0.047547	21.031718
5018	0.047546	21.032088
7825	0.047542	21.033829
5690	0.047539	21.035360
6213	0.047539	21.035360
938	0.047537	21.036099
12853	0.047534	21.037788
15497	0.047532	21.038421
14460	0.047524	21.042168
7707	0.047521	21.043329
16141	0.047520	21.043646
4833	0.047514	21.046337
12489	0.047513	21.046865
7573	0.047504	21.050823
10875	0.047501	21.052195
5184	0.047499	21.052882
17538	0.047493	21.055784
14477	0.047483	21.060376
1149	0.047480	21.061379
6993	0.047467	21.067289
2983	0.047466	21.067923
285	0.047458	21.071142
5339	0.047457	21.071617
8952	0.047456	21.072198
3565	0.047446	21.076525
7761	0.047444	21.077634
10119	0.047434	21.081803
11169	0.047433	21.082489
12212	0.047432	21.082594
7752	0.047426	21.085603
6795	0.047409	21.092886
100	0.047403	21.095630
8329	0.047402	21.096105
2224	0.047398	21.097847
10003	0.047390	21.101383
13009	0.047389	21.102069
12860	0.047384	21.104391
1621	0.047380	21.105869
7280	0.047379	21.106185
14570	0.047379	21.106291
768	0.047376	21.107874
11611	0.047366	21.112096
2791	0.047355	21.117110
18148	0.047350	21.119221
8689	0.047346	21.121174
11609	0.047323	21.131201
283	0.047318	21.133629
16299	0.047317	21.133946
