Nodo	Centralità	Distanza Media
6	0.025165	39.738465
197	0.024890	40.177053
416	0.024214	41.298769
263	0.024108	41.480588
254	0.024100	41.493487
23	0.023863	41.905108
1	0.023815	41.991155
9	0.023564	42.436984
1700	0.023487	42.575857
82	0.023455	42.635152
295	0.023236	43.036527
368	0.023120	43.252804
60	0.023091	43.307591
593	0.022980	43.515290
759	0.022909	43.651557
258	0.022892	43.684274
2382	0.022849	43.764954
14	0.022840	43.782217
0	0.022807	43.846726
1330	0.022779	43.899743
70	0.022686	44.079808
3	0.022594	44.259363
1253	0.022551	44.344432
1351	0.022522	44.401365
7	0.022460	44.522624
625	0.022432	44.578559
345	0.022424	44.595597
1160	0.022379	44.685143
41	0.022283	44.876646
17	0.022242	44.959951
243	0.022192	45.061541
121	0.022154	45.139271
1494	0.022083	45.284618
440	0.022079	45.292541
1461	0.022072	45.307160
1476	0.022055	45.340490
34	0.022047	45.356973
1212	0.021999	45.456158
2161	0.021988	45.478453
266	0.021954	45.550792
932	0.021947	45.565325
1243	0.021920	45.619870
1967	0.021843	45.781719
15	0.021824	45.820197
25	0.021824	45.821635
1128	0.021810	45.849874
1771	0.021803	45.865189
699	0.021752	45.973623
105	0.021733	46.013126
253	0.021713	46.054625
618	0.021686	46.113753
1391	0.021685	46.115104
1504	0.021611	46.273114
290	0.021581	46.337278
1484	0.021557	46.389475
132	0.021523	46.462332
1127	0.021519	46.470776
1730	0.021502	46.506382
2228	0.021489	46.536307
1058	0.021458	46.602179
1189	0.021448	46.624601
2460	0.021416	46.693687
1598	0.021371	46.792854
821	0.021366	46.803994
1932	0.021348	46.842556
227	0.021322	46.899201
2060	0.021311	46.923059
113	0.021274	47.005346
988	0.021198	47.173940
1508	0.021179	47.216578
55	0.021178	47.217720
31	0.021163	47.253135
190	0.021150	47.282419
52	0.021146	47.290334
2410	0.021117	47.355272
86	0.021081	47.436647
13	0.021076	47.446840
768	0.021067	47.466910
32	0.021044	47.519588
1216	0.020966	47.695651
26	0.020921	47.799545
1236	0.020889	47.872708
1962	0.020871	47.913949
