Nodo	Centralità	Distanza Media
112	0.022105	45.238875
15	0.021785	45.903395
0	0.021695	46.094397
6	0.021612	46.269769
21	0.021537	46.431776
5	0.021521	46.466659
7	0.021511	46.488173
2013	0.021459	46.599784
9255	0.021367	46.801133
1526	0.021342	46.855549
2	0.021310	46.926002
7616	0.021284	46.982995
183	0.021281	46.990335
8	0.021273	47.008586
43	0.021249	47.060984
543	0.021240	47.081231
16588	0.021206	47.156483
3	0.021173	47.229801
17883	0.021155	47.269730
3378	0.021144	47.294061
921	0.021111	47.368746
70	0.021084	47.428629
271	0.021081	47.435977
4445	0.021034	47.542944
10891	0.021033	47.544275
16590	0.021017	47.579596
10	0.021006	47.605351
19320	0.021002	47.614423
1487	0.020992	47.637949
1676	0.020970	47.686897
33	0.020970	47.687617
725	0.020953	47.726224
7314	0.020950	47.732556
19744	0.020939	47.757714
11	0.020920	47.802247
10062	0.020902	47.843347
4569	0.020901	47.845265
2036	0.020884	47.882851
8608	0.020880	47.893093
677	0.020868	47.921320
4607	0.020841	47.981709
13780	0.020799	48.079647
673	0.020792	48.096181
660	0.020789	48.102777
817	0.020775	48.134643
975	0.020769	48.147556
1334	0.020767	48.153050
12	0.020764	48.161295
26	0.020762	48.164665
2566	0.020738	48.221307
27	0.020738	48.221368
1765	0.020727	48.245491
3590	0.020724	48.253687
16053	0.020701	48.307490
7465	0.020699	48.310654
9	0.020698	48.313212
38	0.020689	48.335779
3822	0.020669	48.381975
10016	0.020660	48.402990
12024	0.020658	48.408539
1132	0.020657	48.408823
17	0.020629	48.475540
474	0.020615	48.509309
7385	0.020606	48.529896
308	0.020600	48.543105
92	0.020561	48.635124
13060	0.020557	48.646268
3313	0.020553	48.655864
1375	0.020551	48.659450
37	0.020542	48.681640
9184	0.020527	48.715771
49	0.020527	48.716166
11447	0.020507	48.763165
2341	0.020499	48.782820
1286	0.020497	48.787821
16851	0.020494	48.795912
3140	0.020492	48.799038
4585	0.020488	48.809084
11928	0.020484	48.819228
4472	0.020482	48.822769
1806	0.020482	48.822784
16174	0.020475	48.840415
7742	0.020471	48.850326
23	0.020465	48.863817
5560	0.020456	48.885928
458	0.020454	48.889491
14	0.020446	48.909412
8628	0.020444	48.913705
3236	0.020443	48.915373
10246	0.020442	48.918640
2512	0.020436	48.932164
163	0.020436	48.932913
661	0.020431	48.945553
1440	0.020418	48.975687
10357	0.020416	48.981301
16505	0.020403	49.013140
1109	0.020402	49.014470
10926	0.020402	49.015067
1678	0.020395	49.032570
907	0.020393	49.036293
745	0.020392	49.038276
542	0.020361	49.112597
3833	0.020338	49.168800
797	0.020322	49.208178
225	0.020312	49.231624
415	0.020304	49.252081
4751	0.020304	49.252484
7451	0.020303	49.254537
1472	0.020300	49.260758
6396	0.020295	49.272506
412	0.020290	49.285312
836	0.020285	49.296557
153	0.020279	49.310962
1097	0.020274	49.323226
309	0.020265	49.345559
9534	0.020265	49.347052
17712	0.020262	49.354347
19977	0.020261	49.355418
4745	0.020256	49.368499
574	0.020240	49.406407
3330	0.020237	49.414912
409	0.020235	49.419276
14644	0.020230	49.431119
1416	0.020230	49.432212
14710	0.020220	49.455515
9973	0.020218	49.460067
3097	0.020212	49.476013
1276	0.020208	49.485808
18054	0.020194	49.518758
2214	0.020193	49.521387
10526	0.020181	49.551856
13812	0.020180	49.553414
7905	0.020179	49.557271
17477	0.020178	49.558203
464	0.020177	49.561412
16244	0.020175	49.566458
11627	0.020173	49.570525
3033	0.020156	49.614249
