Nodo	Centralità	Distanza Media
991	0.057896	17.272401
7651	0.056848	17.590741
5878	0.056707	17.634526
5742	0.056580	17.674243
6487	0.056449	17.715038
1395	0.056364	17.741835
7981	0.056120	17.818997
1529	0.056088	17.829047
8128	0.056033	17.846752
3196	0.055880	17.895562
4828	0.055876	17.896878
1140	0.055864	17.900586
3133	0.055861	17.901543
5879	0.055754	17.935997
7058	0.055684	17.958368
7650	0.055604	17.984448
418	0.055560	17.998445
5258	0.055560	17.998564
4829	0.055548	18.002393
6856	0.055548	18.002512
2355	0.055509	18.015074
7652	0.055458	18.031583
2070	0.055395	18.052040
2312	0.055374	18.058978
6855	0.055283	18.088647
3899	0.055229	18.106472
2050	0.055214	18.111377
4153	0.055207	18.113650
5743	0.055181	18.122263
7234	0.055172	18.125135
7029	0.055171	18.125613
136	0.055139	18.136141
6279	0.055127	18.139969
2761	0.055092	18.151573
3561	0.055085	18.153607
7517	0.055063	18.160904
5101	0.055052	18.164613
5962	0.055036	18.169996
7771	0.055028	18.172628
992	0.054984	18.186984
4590	0.054967	18.192607
5800	0.054946	18.199665
3113	0.054941	18.201340
2536	0.054911	18.211269
1165	0.054906	18.212825
7858	0.054889	18.218447
2354	0.054818	18.242254
3628	0.054787	18.252662
5267	0.054784	18.253380
524	0.054781	18.254456
6857	0.054749	18.265223
5207	0.054674	18.290106
613	0.054664	18.293456
4228	0.054653	18.297284
7252	0.054641	18.301113
1636	0.054639	18.301830
3407	0.054627	18.306017
4983	0.054614	18.310324
7775	0.054610	18.311760
3512	0.054594	18.317024
1526	0.054584	18.320373
3815	0.054559	18.328747
6070	0.054516	18.343343
809	0.054502	18.348008
828	0.054479	18.355545
829	0.054436	18.370140
3043	0.054410	18.379112
5849	0.054366	18.393947
7491	0.054361	18.395382
509	0.054361	18.395621
7850	0.054348	18.399928
1141	0.054347	18.400167
5266	0.054344	18.401244
5026	0.054333	18.405072
6488	0.054328	18.406867
6251	0.054314	18.411413
2013	0.054226	18.441440
2229	0.054225	18.441560
2760	0.054225	18.441680
5290	0.054219	18.443833
5403	0.054206	18.448020
221	0.054180	18.457112
7859	0.054130	18.473980
376	0.054124	18.476014
5102	0.054105	18.482594
6419	0.054101	18.483790
8129	0.054089	18.488216
1131	0.054080	18.491207
5798	0.054072	18.493959
5799	0.054071	18.494318
3790	0.054068	18.495275
2216	0.054065	18.496351
4350	0.054048	18.502094
2126	0.054046	18.502811
7516	0.054010	18.515253
4005	0.053976	18.526857
6058	0.053973	18.527814
2217	0.053965	18.530446
1708	0.053961	18.531762
7061	0.053960	18.532360
614	0.053937	18.540017
4446	0.053907	18.550544
8344	0.053902	18.552219
2836	0.053896	18.554253
377	0.053895	18.554612
4230	0.053890	18.556406
4409	0.053883	18.558799
7982	0.053881	18.559517
71	0.053877	18.560833
8161	0.053858	18.567293
6773	0.053855	18.568369
1014	0.053846	18.571360
5289	0.053840	18.573394
7253	0.053817	18.581409
5491	0.053790	18.590860
1045	0.053777	18.595167
5326	0.053768	18.598397
4768	0.053765	18.599474
717	0.053738	18.608685
7043	0.053729	18.611796
7949	0.053729	18.612035
7370	0.053722	18.614428
6332	0.053704	18.620648
7195	0.053701	18.621605
2759	0.053698	18.622563
6486	0.053696	18.623400
2107	0.053667	18.633569
1893	0.053660	18.635961
6252	0.053641	18.642421
1399	0.053638	18.643498
2560	0.053633	18.645292
3481	0.053614	18.651753
1323	0.053601	18.656299
662	0.053591	18.659888
1139	0.053582	18.662998
241	0.053577	18.664553
827	0.053577	18.664553
3042	0.053564	18.669338
6669	0.053528	18.681660
4044	0.053527	18.682139
6454	0.053494	18.693624
2160	0.053493	18.693983
4218	0.053454	18.707501
3083	0.053441	18.712286
866	0.053433	18.715038
7860	0.053405	18.724847
261	0.053391	18.729752
4329	0.053389	18.730470
7380	0.053381	18.733341
1661	0.053371	18.736691
5645	0.053349	18.744467
8154	0.053344	18.746142
5027	0.053341	18.747219
4755	0.053320	18.754516
682	0.053302	18.760857
1247	0.053300	18.761694
2311	0.053300	18.761814
8127	0.053293	18.764206
2734	0.053285	18.766838
5620	0.053272	18.771743
1172	0.053267	18.773298
661	0.053265	18.774016
2559	0.053264	18.774255
4	0.053263	18.774614
7153	0.053246	18.780596
7719	0.053236	18.784304
3399	0.053229	18.786577
7170	0.053214	18.792200
170	0.053208	18.794234
7086	0.053192	18.799737
6141	0.053163	18.809905
1164	0.053162	18.810504
860	0.053158	18.811820
590	0.053144	18.816844
6864	0.053137	18.819237
7246	0.053134	18.820433
7334	0.053128	18.822347
1151	0.053122	18.824740
2390	0.053120	18.825338
7653	0.053111	18.828568
6114	0.053110	18.828807
7965	0.053108	18.829405
4396	0.053105	18.830602
1933	0.053102	18.831798
1190	0.053100	18.832277
5808	0.053098	18.832994
5492	0.053096	18.833712
6680	0.053090	18.835985
1803	0.053088	18.836583
7523	0.053087	18.836942
1553	0.053065	18.844718
7768	0.053064	18.845197
2781	0.053061	18.846154
985	0.053059	18.847111
3558	0.053057	18.847589
7868	0.053049	18.850580
1319	0.053042	18.853092
7828	0.053040	18.853571
4415	0.053034	18.855724
5531	0.053030	18.857399
1321	0.053029	18.857638
2396	0.053013	18.863381
6625	0.053007	18.865295
830	0.053005	18.866252
4982	0.052994	18.870080
263	0.052989	18.871875
5444	0.052987	18.872592
3686	0.052986	18.872832
558	0.052985	18.873430
1180	0.052981	18.874626
4718	0.052973	18.877617
6186	0.052959	18.882522
2549	0.052955	18.883957
3266	0.052944	18.887786
7062	0.052944	18.887905
6718	0.052941	18.889102
7497	0.052931	18.892451
262	0.052923	18.895442
1496	0.052908	18.900825
171	0.052906	18.901543
6877	0.052905	18.901902
4018	0.052904	18.902141
3252	0.052900	18.903457
8284	0.052896	18.904893
4351	0.052891	18.906927
6876	0.052882	18.910037
6587	0.052876	18.912190
1010	0.052874	18.913028
2605	0.052872	18.913506
4927	0.052872	18.913506
2758	0.052869	18.914583
2096	0.052854	18.919967
6421	0.052845	18.923316
7059	0.052843	18.924034
4980	0.052840	18.925111
4426	0.052839	18.925350
7336	0.052835	18.926786
6059	0.052833	18.927743
77	0.052817	18.933246
1390	0.052816	18.933604
5024	0.052806	18.937313
5880	0.052804	18.937792
7168	0.052804	18.937911
2302	0.052802	18.938629
7515	0.052791	18.942696
193	0.052787	18.943893
2684	0.052772	18.949515
207	0.052770	18.950114
5100	0.052768	18.950831
2770	0.052764	18.952387
7212	0.052759	18.954061
5367	0.052759	18.954181
1272	0.052739	18.961239
1398	0.052736	18.962316
6663	0.052725	18.966384
4031	0.052725	18.966503
5282	0.052721	18.967699
5628	0.052719	18.968537
8004	0.052717	18.969255
1932	0.052715	18.969972
6385	0.052699	18.975595
4703	0.052696	18.976791
388	0.052674	18.984807
3619	0.052661	18.989472
2011	0.052648	18.994018
6661	0.052635	18.998923
1274	0.052622	19.003589
5449	0.052616	19.005623
5827	0.052611	19.007298
5961	0.052609	19.008255
718	0.052607	19.008853
6117	0.052602	19.010528
7966	0.052592	19.014475
6681	0.052587	19.016031
5789	0.052580	19.018782
5327	0.052571	19.021893
4891	0.052564	19.024285
142	0.052555	19.027515
317	0.052550	19.029549
389	0.052548	19.030147
4661	0.052545	19.031343
6839	0.052543	19.032061
3406	0.052542	19.032420
639	0.052542	19.032540
6934	0.052541	19.032899
3289	0.052536	19.034693
8162	0.052531	19.036368
7921	0.052530	19.036607
1868	0.052528	19.037564
4475	0.052527	19.037804
6503	0.052518	19.041034
2230	0.052516	19.041991
6331	0.052514	19.042589
5057	0.052510	19.043905
5268	0.052509	19.044503
7235	0.052504	19.046178
128	0.052477	19.056107
268	0.052470	19.058619
7189	0.052463	19.061132
6502	0.052462	19.061371
7052	0.052458	19.062807
2814	0.052444	19.068070
7098	0.052443	19.068190
3913	0.052442	19.068788
6040	0.052438	19.069984
2012	0.052433	19.072018
5619	0.052417	19.077880
7685	0.052416	19.078119
4449	0.052409	19.080632
3430	0.052404	19.082546
4803	0.052398	19.084699
1927	0.052398	19.084819
1945	0.052391	19.087331
5813	0.052389	19.087929
2656	0.052388	19.088288
6426	0.052384	19.089843
5753	0.052367	19.095825
6420	0.052364	19.097260
6704	0.052353	19.101208
5389	0.052345	19.103960
1968	0.052340	19.105874
6591	0.052337	19.106831
2828	0.052333	19.108506
951	0.052328	19.110061
2377	0.052328	19.110061
3253	0.052327	19.110659
5216	0.052324	19.111855
4928	0.052322	19.112454
5025	0.052321	19.112932
1654	0.052314	19.115325
6690	0.052313	19.115684
7315	0.052304	19.119153
2994	0.052297	19.121546
6062	0.052296	19.121785
6586	0.052290	19.123938
8160	0.052277	19.128724
8033	0.052275	19.129681
5877	0.052271	19.131236
6556	0.052269	19.131714
6205	0.052259	19.135543
1861	0.052255	19.136858
6286	0.052244	19.140806
181	0.052244	19.141046
7236	0.052236	19.143797
7518	0.052225	19.147865
5334	0.052214	19.152052
2826	0.052209	19.153966
1497	0.052199	19.157315
4421	0.052195	19.158871
2031	0.052192	19.160067
1685	0.052185	19.162579
5741	0.052181	19.164015
7620	0.052177	19.165570
4591	0.052172	19.167484
7319	0.052165	19.170116
2108	0.052164	19.170355
5788	0.052155	19.173585
76	0.052152	19.174901
4307	0.052149	19.175739
4456	0.052144	19.177772
92	0.052133	19.181720
893	0.052133	19.181840
4728	0.052122	19.185788
2240	0.052114	19.188779
4330	0.052112	19.189257
5448	0.052112	19.189616
7314	0.052101	19.193444
6290	0.052100	19.193683
2606	0.052097	19.194999
1252	0.052085	19.199306
2823	0.052084	19.199665
7309	0.052084	19.199665
4101	0.052080	19.201101
5869	0.052074	19.203493
2359	0.052073	19.203972
1360	0.052072	19.204331
2332	0.052071	19.204570
7169	0.052070	19.205048
3480	0.052069	19.205168
1176	0.052065	19.206723
5383	0.052065	19.206723
7327	0.052065	19.206843
2789	0.052056	19.210073
4949	0.052050	19.212226
5979	0.052047	19.213303
8158	0.052039	19.216174
4253	0.052033	19.218567
7097	0.052031	19.219285
5860	0.052026	19.221318
1643	0.052021	19.222874
