Nodo	Centralità	Distanza Media
15187	0.051469	19.429195
1560	0.051322	19.484936
9639	0.050858	19.662424
5119	0.050786	19.690653
17701	0.050526	19.791819
7652	0.050515	19.796233
16860	0.050495	19.803778
12265	0.050414	19.835857
9220	0.050394	19.843761
446	0.050328	19.869733
1136	0.050252	19.899810
12507	0.050225	19.910589
8366	0.050211	19.915875
3544	0.050157	19.937535
18381	0.050153	19.939075
16080	0.049993	20.002618
8658	0.049976	20.009752
6557	0.049927	20.029205
16235	0.049906	20.037725
7355	0.049869	20.052661
10825	0.049756	20.097932
18372	0.049744	20.103116
5118	0.049740	20.104655
4380	0.049731	20.107992
9783	0.049728	20.109480
17457	0.049723	20.111328
9502	0.049705	20.118565
3508	0.049684	20.127290
8084	0.049682	20.128112
8703	0.049653	20.139712
17090	0.049643	20.143869
2539	0.049632	20.148129
11977	0.049620	20.153005
12266	0.049607	20.158446
14583	0.049596	20.162911
9604	0.049569	20.173998
11361	0.049568	20.174460
11494	0.049561	20.177283
19281	0.049530	20.189704
17254	0.049471	20.213930
18382	0.049467	20.215316
17200	0.049460	20.218550
19113	0.049442	20.225838
445	0.049399	20.243340
3108	0.049398	20.243905
9782	0.049396	20.244470
509	0.049382	20.250115
6254	0.049370	20.255351
8206	0.049359	20.259919
2003	0.049351	20.262999
7542	0.049351	20.263050
3094	0.049347	20.264487
4903	0.049327	20.272853
19399	0.049319	20.276138
8936	0.049303	20.282554
8611	0.049294	20.286404
10463	0.049290	20.287995
17458	0.049280	20.292203
7651	0.049275	20.294359
6558	0.049264	20.298876
8367	0.049205	20.323000
14682	0.049204	20.323615
14582	0.049200	20.325309
10598	0.049198	20.326028
809	0.049182	20.332495
9044	0.049156	20.343325
18739	0.049151	20.345378
17201	0.049135	20.352102
16019	0.049131	20.353693
12123	0.049119	20.358620
14739	0.049119	20.358672
2617	0.049115	20.360211
859	0.049101	20.366371
9611	0.049089	20.371041
12560	0.049084	20.373146
11493	0.049071	20.378792
2911	0.049069	20.379356
13685	0.049045	20.389519
16686	0.049042	20.390802
10398	0.049033	20.394241
11526	0.049033	20.394344
14309	0.049031	20.395319
19208	0.049018	20.400760
16375	0.049000	20.408048
18135	0.048993	20.411025
14042	0.048982	20.415490
6066	0.048959	20.425243
13859	0.048959	20.425294
4379	0.048948	20.429759
15590	0.048945	20.431248
9839	0.048941	20.432942
3657	0.048940	20.432993
2659	0.048937	20.434379
8189	0.048910	20.445568
6029	0.048906	20.447262
9228	0.048903	20.448750
9640	0.048901	20.449469
5134	0.048898	20.450547
4096	0.048897	20.450957
16973	0.048894	20.452240
12599	0.048888	20.454909
2840	0.048886	20.455936
2388	0.048877	20.459477
4266	0.048872	20.461787
14401	0.048860	20.466715
15086	0.048857	20.467741
8811	0.048855	20.468614
9219	0.048847	20.471899
18911	0.048846	20.472309
13538	0.048841	20.474465
6067	0.048840	20.475132
11135	0.048821	20.483139
13348	0.048816	20.485038
15114	0.048813	20.486424
11745	0.048812	20.486835
17080	0.048805	20.489555
12523	0.048777	20.501360
7693	0.048775	20.502438
14095	0.048775	20.502489
18556	0.048772	20.503619
14366	0.048770	20.504337
19207	0.048767	20.505466
7885	0.048767	20.505672
11362	0.048763	20.507365
145	0.048763	20.507417
13284	0.048752	20.511985
8244	0.048747	20.514243
13438	0.048741	20.516656
7215	0.048738	20.517887
8738	0.048736	20.518503
8957	0.048736	20.518555
9398	0.048736	20.518914
6534	0.048733	20.519992
14279	0.048709	20.529898
15115	0.048709	20.529898
10633	0.048709	20.530154
16124	0.048706	20.531386
9832	0.048697	20.535082
8403	0.048694	20.536211
13964	0.048678	20.543294
10505	0.048673	20.545193
15138	0.048664	20.548991
5196	0.048657	20.552071
8365	0.048651	20.554689
4836	0.048648	20.555921
18645	0.048647	20.556382
14758	0.048641	20.558846
14679	0.048632	20.562644
8125	0.048619	20.568136
13686	0.048618	20.568496
7641	0.048604	20.574296
12264	0.048596	20.577888
12099	0.048587	20.581584
9221	0.048586	20.582046
5578	0.048580	20.584407
665	0.048580	20.584510
15552	0.048579	20.584972
19006	0.048571	20.588616
15315	0.048569	20.589386
5022	0.048569	20.589437
16316	0.048568	20.589796
8587	0.048556	20.594878
18714	0.048553	20.595955
17815	0.048552	20.596674
17706	0.048551	20.596982
15451	0.048544	20.599856
3417	0.048521	20.609454
437	0.048516	20.611713
536	0.048513	20.613150
6501	0.048512	20.613509
5403	0.048510	20.614176
3543	0.048479	20.627419
5637	0.048472	20.630396
14831	0.048470	20.631474
858	0.048456	20.637376
16470	0.048452	20.638916
9608	0.048444	20.642509
15314	0.048436	20.645999
124	0.048435	20.646204
967	0.048434	20.646820
2079	0.048422	20.651748
977	0.048421	20.652158
19359	0.048420	20.652774
10379	0.048411	20.656367
4899	0.048401	20.660679
14672	0.048397	20.662578
13537	0.048392	20.664733
18705	0.048387	20.666632
16798	0.048383	20.668429
10369	0.048378	20.670585
18323	0.048377	20.671098
7287	0.048376	20.671201
575	0.048376	20.671508
5639	0.048364	20.676333
4267	0.048361	20.677924
16195	0.048351	20.682030
14009	0.048348	20.683211
11525	0.048348	20.683262
5322	0.048346	20.684186
3522	0.048339	20.687317
5561	0.048336	20.688395
5402	0.048332	20.690345
10475	0.048319	20.695991
11118	0.048312	20.698866
4274	0.048288	20.709285
4450	0.048281	20.712159
6030	0.048279	20.712827
19400	0.048279	20.712929
2256	0.048274	20.715290
5207	0.048258	20.722014
18823	0.048257	20.722219
9402	0.048238	20.730380
15004	0.048229	20.734281
10863	0.048227	20.735102
19402	0.048227	20.735462
12919	0.048224	20.736745
18414	0.048223	20.737001
4408	0.048223	20.737207
12506	0.048212	20.741878
5485	0.048203	20.745778
2654	0.048194	20.749628
9410	0.048192	20.750295
17249	0.048185	20.753477
18199	0.048182	20.754504
16602	0.048181	20.755069
659	0.048177	20.756916
19165	0.048171	20.759226
9278	0.048165	20.761895
8402	0.048160	20.764256
15926	0.048150	20.768260
19176	0.048145	20.770518
17395	0.048142	20.771852
8207	0.048140	20.772725
17241	0.048139	20.773341
12753	0.048136	20.774521
8935	0.048135	20.774727
9518	0.048126	20.778935
5523	0.048123	20.780116
14400	0.048119	20.782015
19022	0.048114	20.783812
5638	0.048113	20.784427
8989	0.048112	20.784684
9527	0.048111	20.785197
9710	0.048106	20.787507
8056	0.048103	20.788688
3523	0.048102	20.789355
12557	0.048095	20.792332
10883	0.048094	20.792537
6769	0.048093	20.793256
9603	0.048091	20.793820
14108	0.048090	20.794282
2200	0.048090	20.794488
9076	0.048088	20.795360
3658	0.048082	20.797618
16716	0.048080	20.798491
4733	0.048080	20.798799
15816	0.048076	20.800493
13541	0.048075	20.801006
19282	0.048060	20.807165
8588	0.048056	20.808962
8235	0.048053	20.810347
10696	0.048046	20.813222
1546	0.048045	20.813786
15450	0.048041	20.815480
4496	0.048033	20.818919
4724	0.048030	20.820356
9045	0.048022	20.823949
436	0.048021	20.824360
16797	0.048020	20.824462
9046	0.048011	20.828671
15787	0.048011	20.828671
10422	0.048004	20.831391
12254	0.047993	20.836524
10270	0.047981	20.841606
5052	0.047976	20.843813
7867	0.047974	20.844480
12820	0.047974	20.844531
17760	0.047968	20.847200
6001	0.047967	20.847508
13388	0.047958	20.851768
10114	0.047957	20.851820
3651	0.047952	20.854283
10882	0.047951	20.854591
8704	0.047950	20.855002
12267	0.047948	20.856028
14678	0.047946	20.856747
3493	0.047945	20.857106
13402	0.047944	20.857825
743	0.047937	20.860596
7886	0.047937	20.860699
19401	0.047934	20.862136
5861	0.047930	20.863573
18079	0.047929	20.864241
2248	0.047923	20.866704
13131	0.047922	20.867166
13518	0.047921	20.867577
17309	0.047919	20.868603
13130	0.047917	20.869425
6642	0.047916	20.870041
6393	0.047907	20.873993
15998	0.047905	20.874557
7288	0.047897	20.878202
15589	0.047896	20.878509
1754	0.047889	20.881640
18596	0.047889	20.881692
10606	0.047887	20.882308
5579	0.047885	20.883488
8959	0.047879	20.885952
18706	0.047876	20.887235
2199	0.047874	20.887954
19299	0.047873	20.888467
12740	0.047868	20.890982
18525	0.047867	20.891033
6697	0.047867	20.891085
18774	0.047866	20.891700
13963	0.047861	20.893754
8800	0.047860	20.894421
3180	0.047850	20.898681
7657	0.047848	20.899297
3109	0.047848	20.899451
13054	0.047840	20.902838
898	0.047837	20.904378
6232	0.047836	20.904891
12908	0.047835	20.905097
4770	0.047833	20.905918
508	0.047829	20.907612
12739	0.047828	20.908176
17847	0.047823	20.910640
15932	0.047820	20.911769
15102	0.047817	20.913104
11363	0.047817	20.913206
14600	0.047810	20.915978
15361	0.047799	20.920854
15600	0.047797	20.921624
4497	0.047794	20.923318
14738	0.047792	20.924088
12524	0.047792	20.924190
8744	0.047789	20.925473
8085	0.047786	20.926757
7642	0.047784	20.927578
4884	0.047781	20.929015
15414	0.047775	20.931633
18713	0.047770	20.933634
12741	0.047765	20.935995
10585	0.047762	20.937227
18579	0.047760	20.937843
5551	0.047760	20.938100
12098	0.047750	20.942565
12909	0.047741	20.946158
7929	0.047740	20.946928
16781	0.047739	20.947031
8960	0.047730	20.951137
8645	0.047726	20.952779
18643	0.047713	20.958477
18839	0.047710	20.960068
103	0.047707	20.961248
7933	0.047706	20.961813
7868	0.047705	20.962121
13540	0.047704	20.962634
16861	0.047692	20.967664
10624	0.047690	20.968793
3901	0.047681	20.972899
16076	0.047680	20.973259
12602	0.047676	20.975107
11102	0.047675	20.975517
11915	0.047672	20.976800
13911	0.047667	20.978751
14624	0.047664	20.980342
2257	0.047659	20.982190
8432	0.047657	20.983421
12769	0.047655	20.984140
10247	0.047654	20.984397
12000	0.047653	20.985167
8996	0.047652	20.985321
11137	0.047651	20.986090
8991	0.047648	20.987117
11136	0.047648	20.987220
4048	0.047644	20.988965
12426	0.047644	20.989119
1504	0.047641	20.990505
11119	0.047636	20.992404
8450	0.047629	20.995432
17069	0.047629	20.995432
17846	0.047622	20.998717
4620	0.047619	20.999949
9588	0.047612	21.002926
16981	0.047610	21.004003
12013	0.047609	21.004311
235	0.047608	21.004773
9531	0.047606	21.005543
6873	0.047602	21.007545
14785	0.047601	21.008161
12808	0.047600	21.008469
2304	0.047599	21.008982
8995	0.047597	21.009598
14486	0.047597	21.009752
17661	0.047591	21.012216
7019	0.047591	21.012472
1077	0.047589	21.013191
14643	0.047588	21.013499
9831	0.047588	21.013704
11446	0.047583	21.016117
17030	0.047578	21.018016
7932	0.047577	21.018683
3404	0.047576	21.018940
14278	0.047576	21.018991
9218	0.047571	21.021403
15931	0.047570	21.021506
14150	0.047563	21.024586
11340	0.047563	21.024842
9394	0.047561	21.025715
5201	0.047552	21.029770
7122	0.047551	21.029872
17705	0.047542	21.034030
10249	0.047540	21.034954
7789	0.047538	21.035621
7977	0.047534	21.037777
7251	0.047531	21.038854
8702	0.047527	21.040702
18507	0.047527	21.040753
10387	0.047522	21.043063
10623	0.047521	21.043474
17331	0.047520	21.043576
2389	0.047519	21.044141
19085	0.047515	21.045784
16471	0.047515	21.046091
17280	0.047507	21.049479
2933	0.047503	21.051275
12105	0.047500	21.052507
4699	0.047499	21.053072
1547	0.047499	21.053226
7692	0.047499	21.053226
17248	0.047498	21.053483
4927	0.047493	21.055741
16980	0.047493	21.055741
12849	0.047493	21.055792
14151	0.047491	21.056408
1027	0.047491	21.056511
6314	0.047489	21.057383
1846	0.047489	21.057589
11904	0.047483	21.060206
3963	0.047481	21.061028
19457	0.047481	21.061130
3197	0.047480	21.061643
14744	0.047470	21.065955
7038	0.047469	21.066366
13560	0.047464	21.068778
4010	0.047460	21.070266
5284	0.047455	21.072525
9800	0.047454	21.072833
10616	0.047453	21.073500
1066	0.047452	21.073911
15625	0.047450	21.074680
14067	0.047448	21.075502
14673	0.047448	21.075810
8582	0.047445	21.077042
5673	0.047444	21.077401
11121	0.047444	21.077606
14818	0.047443	21.077811
16376	0.047427	21.084843
15104	0.047427	21.084946
2828	0.047425	21.085921
15457	0.047424	21.086229
12632	0.047424	21.086332
4958	0.047423	21.086691
11902	0.047418	21.089001
12255	0.047414	21.090797
3131	0.047412	21.091875
16847	0.047410	21.092542
5681	0.047409	21.093158
3959	0.047407	21.093928
5875	0.047406	21.094339
1847	0.047397	21.098547
15937	0.047393	21.100190
2608	0.047382	21.105015
9276	0.047378	21.106657
9838	0.047374	21.108608
11303	0.047374	21.108761
2724	0.047372	21.109326
9208	0.047371	21.110147
1140	0.047366	21.112046
15101	0.047363	21.113740
10534	0.047361	21.114202
18822	0.047361	21.114253
14096	0.047360	21.115075
2301	0.047358	21.115537
14415	0.047358	21.115793
12559	0.047357	21.116204
3733	0.047355	21.117128
1045	0.047355	21.117179
15607	0.047351	21.118924
17176	0.047345	21.121593
742	0.047342	21.123082
14195	0.047339	21.124314
16703	0.047330	21.128317
11700	0.047317	21.133963
4581	0.047311	21.136529
9004	0.047308	21.138223
6910	0.047304	21.139763
13722	0.047299	21.142124
612	0.047298	21.142329
6723	0.047296	21.143458
4746	0.047296	21.143612
11342	0.047293	21.144639
3447	0.047287	21.147359
1034	0.047287	21.147667
12182	0.047286	21.147975
10462	0.047285	21.148232
11729	0.047280	21.150593
7108	0.047279	21.151157
7593	0.047277	21.151722
4851	0.047277	21.152081
