Nodo	Centralità	Distanza Media
11232	0.043670	22.899052
11631	0.043512	22.982171
1999	0.043478	22.999901
8187	0.043478	23.000049
12	0.043433	23.023953
5377	0.043376	23.054277
18947	0.043256	23.117938
8186	0.043223	23.135816
10755	0.043153	23.173548
10763	0.043037	23.235826
19981	0.043013	23.248518
2630	0.042863	23.329959
6434	0.042803	23.362653
15484	0.042771	23.380334
17926	0.042729	23.403200
427	0.042612	23.467750
11233	0.042580	23.485480
14362	0.042562	23.495407
6435	0.042527	23.514668
10762	0.042437	23.564599
11632	0.042397	23.586330
8239	0.042395	23.587712
20170	0.042371	23.601096
5269	0.042370	23.601442
14697	0.042348	23.614036
16706	0.042233	23.678092
8350	0.042226	23.682240
10292	0.042222	23.684611
9540	0.042218	23.686784
17322	0.042171	23.713058
426	0.042156	23.721355
16215	0.042126	23.738443
2631	0.042093	23.757112
18993	0.042081	23.763582
3505	0.042073	23.767977
17849	0.042073	23.768471
1005	0.042050	23.781262
8185	0.042043	23.784966
6856	0.041976	23.823242
11633	0.041967	23.828329
18948	0.041965	23.829465
13536	0.041936	23.845763
19984	0.041905	23.863493
5497	0.041887	23.873617
10061	0.041875	23.880482
17927	0.041865	23.886409
8407	0.041862	23.888236
2330	0.041837	23.902460
346	0.041834	23.903744
1109	0.041830	23.906015
12122	0.041799	23.924042
4864	0.041752	23.950711
2203	0.041747	23.953576
8199	0.041720	23.969133
15483	0.041712	23.974170
17321	0.041703	23.978961
14361	0.041675	23.995358
19983	0.041668	23.998963
8651	0.041656	24.006025
347	0.041645	24.012396
6808	0.041613	24.031213
14239	0.041605	24.035510
5053	0.041588	24.045634
6952	0.041581	24.049190
4863	0.041571	24.055166
13383	0.041570	24.055956
17501	0.041563	24.059611
1668	0.041558	24.062920
18818	0.041530	24.078872
15344	0.041524	24.082379
16315	0.041521	24.083910
425	0.041516	24.087169
5270	0.041515	24.087465
5948	0.041514	24.088157
9174	0.041511	24.089787
5268	0.041508	24.091565
15566	0.041497	24.097985
8038	0.041489	24.102726
10811	0.041476	24.110184
10836	0.041474	24.111369
2202	0.041465	24.116703
15255	0.041463	24.118036
9229	0.041457	24.121543
3504	0.041447	24.126976
4214	0.041446	24.127963
12363	0.041439	24.131766
3673	0.041436	24.133593
1774	0.041433	24.135174
8240	0.041427	24.138779
10619	0.041421	24.142335
6244	0.041420	24.143175
17091	0.041416	24.145397
7965	0.041390	24.160263
18994	0.041374	24.169646
17799	0.041374	24.170041
3024	0.041334	24.193155
907	0.041326	24.197649
3597	0.041314	24.204761
6809	0.041276	24.227331
19995	0.041276	24.227331
6055	0.041273	24.228665
20234	0.041265	24.233751
3506	0.041261	24.235727
345	0.041261	24.236171
9928	0.041250	24.242444
11910	0.041234	24.251679
817	0.041234	24.252124
18893	0.041230	24.254149
16504	0.041224	24.257458
5	0.041214	24.263433
18352	0.041214	24.263582
348	0.041212	24.264964
7442	0.041204	24.269459
141	0.041199	24.272274
19985	0.041198	24.273262
1434	0.041196	24.273953
16138	0.041193	24.275682
11644	0.041191	24.277114
5011	0.041186	24.280373
10895	0.041182	24.282250
5797	0.041153	24.299388
9728	0.041144	24.305018
1093	0.041142	24.305808
15974	0.041138	24.308475
8490	0.041130	24.312870
6904	0.041123	24.317266
13482	0.041112	24.324032
10951	0.041110	24.325069
13529	0.041106	24.327143
14357	0.041099	24.331490
3139	0.041091	24.336132
9175	0.041083	24.341071
8711	0.041075	24.345960
11643	0.041071	24.347886
18380	0.041067	24.350504
18652	0.041060	24.354307
18817	0.041050	24.360678
13680	0.041047	24.362456
3266	0.041046	24.362999
14356	0.041046	24.363147
17044	0.041034	24.370160
8588	0.041031	24.371543
17798	0.041016	24.380828
7731	0.041004	24.388038
6905	0.040996	24.392582
17247	0.040993	24.394113
19049	0.040988	24.397570
14641	0.040984	24.399941
8312	0.040961	24.413670
14925	0.040950	24.419745
1864	0.040942	24.424585
14741	0.040941	24.425474
16967	0.040935	24.429178
