Nodo	Centralità	Distanza Media
11011	0.047893	20.880046
18947	0.047719	20.956076
4749	0.047644	20.988967
10492	0.047598	21.009465
15723	0.047568	21.022642
375	0.047458	21.071167
4748	0.047229	21.173290
15722	0.047199	21.186833
9472	0.046870	21.335442
8735	0.046718	21.404832
1268	0.046690	21.417852
18946	0.046622	21.449331
1829	0.046608	21.455553
376	0.046593	21.462351
2964	0.046197	21.646622
13988	0.046151	21.668218
7655	0.046128	21.678728
9063	0.046078	21.702207
5867	0.046046	21.717632
9539	0.046038	21.720979
8113	0.046034	21.723175
2673	0.046011	21.733738
18898	0.045992	21.743098
15721	0.045972	21.752562
2734	0.045891	21.790577
13203	0.045864	21.803702
15724	0.045840	21.814945
377	0.045776	21.845744
2672	0.045695	21.884282
1528	0.045684	21.889301
4431	0.045631	21.914714
17274	0.045566	21.946350
13544	0.045563	21.947657
11684	0.045552	21.952730
2942	0.045535	21.961044
15560	0.045506	21.975058
13003	0.045478	21.988444
7131	0.045456	21.999320
17687	0.045439	22.007739
8546	0.045431	22.011556
17269	0.045414	22.019609
11260	0.045413	22.020184
11719	0.045403	22.024995
12505	0.045393	22.029701
1965	0.045354	22.048891
11203	0.045323	22.064056
9704	0.045318	22.066461
824	0.045284	22.082671
1058	0.045247	22.101077
1861	0.045222	22.113209
14244	0.045210	22.118908
17816	0.045186	22.130830
1963	0.045180	22.133706
17531	0.045173	22.137157
5074	0.045143	22.151903
12758	0.045142	22.152426
6450	0.045129	22.158492
9763	0.045126	22.160061
17669	0.045121	22.162832
9385	0.045069	22.188402
3997	0.045040	22.202677
14506	0.045020	22.212299
9703	0.045007	22.218730
17786	0.045001	22.221920
4662	0.044997	22.223750
10279	0.044991	22.226574
7108	0.044972	22.236195
11121	0.044963	22.240640
8774	0.044960	22.242000
1792	0.044924	22.259726
16756	0.044916	22.263962
11202	0.044864	22.289584
985	0.044839	22.302238
2096	0.044838	22.302656
3459	0.044828	22.307624
6027	0.044824	22.309350
10854	0.044824	22.309663
13885	0.044817	22.312748
3557	0.044802	22.320540
8994	0.044780	22.331573
17950	0.044756	22.343443
11078	0.044744	22.349299
2767	0.044712	22.365352
2206	0.044694	22.374556
2856	0.044690	22.376490
2943	0.044682	22.380203
18462	0.044670	22.386269
12052	0.044670	22.386373
825	0.044668	22.387419
3634	0.044667	22.387942
14569	0.044656	22.393328
6499	0.044635	22.403890
8321	0.044627	22.408178
8814	0.044624	22.409695
11077	0.044618	22.412257
12451	0.044615	22.413878
10932	0.044611	22.415865
5390	0.044607	22.418113
2284	0.044606	22.418741
9062	0.044598	22.422767
4558	0.044596	22.423342
61	0.044583	22.429931
16076	0.044575	22.434271
986	0.044571	22.436154
11483	0.044568	22.437670
15331	0.044560	22.441801
17530	0.044559	22.442271
12137	0.044547	22.447971
17398	0.044540	22.451736
12759	0.044531	22.456076
2205	0.044529	22.457227
17776	0.044517	22.463501
16986	0.044512	22.466011
17374	0.044498	22.472809
11511	0.044479	22.482744
2674	0.044476	22.483999
10853	0.044475	22.484417
4036	0.044453	22.495817
1351	0.044451	22.496758
1665	0.044441	22.501778
17682	0.044436	22.504445
12449	0.044433	22.506013
11122	0.044407	22.518929
13123	0.044398	22.523321
8346	0.044396	22.524524
3497	0.044394	22.525570
1365	0.044383	22.531270
6462	0.044368	22.538799
18942	0.044363	22.541466
16536	0.044358	22.544028
10790	0.044344	22.551192
14543	0.044340	22.553179
12323	0.044339	22.553388
60	0.044334	22.556264
15662	0.044334	22.556264
4073	0.044328	22.558983
16029	0.044321	22.562696
16990	0.044319	22.563899
17948	0.044318	22.564160
9352	0.044316	22.565101
3393	0.044316	22.565415
1661	0.044309	22.568919
6583	0.044304	22.571272
16611	0.044304	22.571272
1762	0.044303	22.571951
12669	0.044285	22.581102
13670	0.044281	22.583037
8545	0.044280	22.583403
5878	0.044263	22.592397
6606	0.044257	22.595378
15915	0.044253	22.597521
14785	0.044237	22.605626
909	0.044237	22.605679
1760	0.044224	22.612372
1105	0.044223	22.612529
13309	0.044221	22.613575
17719	0.044218	22.615039
17806	0.044216	22.616451
7267	0.044201	22.623980
14540	0.044198	22.625340
12134	0.044192	22.628634
10317	0.044189	22.630255
7628	0.044187	22.631196
16337	0.044178	22.635746
11105	0.044177	22.636321
7514	0.044175	22.637001
15559	0.044175	22.637053
7691	0.044174	22.637837
936	0.044174	22.637942
987	0.044174	22.637994
12135	0.044172	22.638778
7584	0.044169	22.640295
17777	0.044167	22.641445
3858	0.044157	22.646256
1523	0.044156	22.646727
12907	0.044153	22.648504
7268	0.044149	22.650492
7735	0.044147	22.651537
10090	0.044138	22.656243
8013	0.044134	22.658492
18897	0.044133	22.658597
803	0.044133	22.658701
14245	0.044128	22.661106
9750	0.044127	22.661682
15312	0.044126	22.662414
241	0.044122	22.664192
4074	0.044122	22.664453
7690	0.044121	22.664819
7936	0.044118	22.666649
16458	0.044115	22.667800
16454	0.044114	22.668323
1707	0.044112	22.669473
15342	0.044104	22.673552
1302	0.044093	22.679303
7391	0.044092	22.679983
16459	0.044090	22.680872
8676	0.044089	22.681291
1352	0.044074	22.688925
12086	0.044074	22.689343
18115	0.044067	22.692742
16116	0.044067	22.692951
14138	0.044055	22.698965
11106	0.044054	22.699174
19068	0.044049	22.702102
7937	0.044047	22.702834
8343	0.044041	22.706181
7174	0.044036	22.708638
811	0.044035	22.709004
9048	0.044032	22.710939
8775	0.044030	22.711567
8736	0.044016	22.718835
4559	0.044006	22.724116
6609	0.043999	22.727672
18777	0.043998	22.728143
12445	0.043993	22.730809
14991	0.043983	22.735986
17688	0.043983	22.736091
2173	0.043970	22.742836
7014	0.043967	22.744196
1964	0.043966	22.745032
11165	0.043965	22.745346
15620	0.043964	22.746026
5436	0.043961	22.747333
14740	0.043956	22.750157
4857	0.043955	22.750418
826	0.043953	22.751360
12668	0.043953	22.751569
3458	0.043945	22.755804
2846	0.043943	22.756850
910	0.043938	22.759203
12670	0.043938	22.759412
9193	0.043937	22.760040
4998	0.043927	22.765007
1037	0.043925	22.765896
7884	0.043917	22.770236
4663	0.043915	22.771282
1941	0.043912	22.772694
9091	0.043911	22.773531
6449	0.043909	22.774576
