Nodo	Centralità	Distanza Media
11	0.022082	45.286265
3	0.021941	45.577520
236	0.021753	45.971231
280	0.021605	46.285161
181	0.021459	46.600189
8	0.021426	46.671253
204	0.021392	46.745743
427	0.021334	46.872662
1967	0.021322	46.900360
7731	0.021264	47.027086
13283	0.021233	47.095888
30	0.021206	47.156761
163	0.021174	47.227258
3592	0.021168	47.241273
564	0.021134	47.316906
106	0.021121	47.346083
7409	0.021118	47.352232
12376	0.021055	47.494972
6	0.021046	47.514739
1074	0.020996	47.628899
4	0.020990	47.641287
9	0.020946	47.742224
7536	0.020935	47.767361
1170	0.020877	47.899728
41	0.020851	47.958499
1061	0.020835	47.995854
691	0.020829	48.009776
39	0.020826	48.016637
12250	0.020808	48.058579
0	0.020767	48.152884
19	0.020767	48.153353
765	0.020753	48.184777
10342	0.020739	48.218191
32	0.020701	48.305958
1364	0.020699	48.310647
646	0.020654	48.416461
13623	0.020648	48.429718
10265	0.020632	48.468330
8422	0.020611	48.516933
36	0.020608	48.525335
12	0.020593	48.561055
8513	0.020593	48.561365
2296	0.020591	48.565089
1799	0.020589	48.569403
17	0.020583	48.583637
1031	0.020559	48.640123
80	0.020532	48.704973
11238	0.020510	48.755632
887	0.020507	48.763141
5127	0.020504	48.770088
8606	0.020474	48.841826
6887	0.020468	48.855844
1851	0.020456	48.884226
8038	0.020453	48.892864
13	0.020440	48.924444
7	0.020428	48.953090
217	0.020427	48.954621
137	0.020397	49.026670
24	0.020395	49.031492
33	0.020379	49.070825
337	0.020365	49.104074
12691	0.020352	49.134612
3590	0.020335	49.175727
635	0.020326	49.197402
2720	0.020313	49.228387
794	0.020311	49.234778
534	0.020304	49.250196
2119	0.020300	49.260528
2622	0.020299	49.263126
2288	0.020290	49.284375
5715	0.020279	49.311133
6157	0.020279	49.312900
10130	0.020277	49.317896
119	0.020269	49.336518
2027	0.020257	49.364534
5314	0.020255	49.371287
193	0.020231	49.429977
389	0.020222	49.450671
12594	0.020218	49.459735
28	0.020215	49.468355
525	0.020205	49.493707
11460	0.020204	49.495590
1690	0.020192	49.524489
2995	0.020171	49.577244
2507	0.020170	49.578743
7251	0.020159	49.605550
12765	0.020151	49.625902
93	0.020142	49.646332
2868	0.020121	49.698226
8260	0.020098	49.755041
